#
#      UT day (days)  Temperature (c)  rms Temp (c)    d T / dt (C/days)
       3.5833333       12.532714       6.4951722       70.200000
       3.5937500       13.159500       5.6072498      -37.028571
       3.6041667       11.761286       4.1946111      -45.857143
       3.6145833       12.204143       3.6843621      -72.342857
       3.6250000       10.254143       5.0165915      -102.04286
       3.6354167       10.078250       2.7527827      -50.209524
       3.6458333       9.2081111       3.6348812       44.500000
       3.6562500       11.005333       4.5570043       36.800000
       3.6666667       9.9747778       6.1379512      -84.160000
       3.6770833       9.2520000       2.6551261      -90.819048
       3.6875000       8.0827143       3.1445342       59.760000
       3.6979167       10.497000       2.7366342       121.88571
       3.7083333       10.622000       5.3852344       72.685714
       3.7187500       12.011286       5.5914901       103.80000
       3.7291667       12.784500       6.2410937      -21.781714
       3.7395833       11.557500       4.9730728      -16.285333
       3.7500000       12.445222       6.0874341      -71.544000
       3.7604167       10.067000       3.2974611      -128.31467
       3.7708333       9.7720000       3.6725818      -112.38857
       3.7812500       7.7255714       2.9301390       28.080000
       3.7916667       10.357000       2.5635045       60.228571
       3.8020833       8.9803333       2.3485368      -63.970909
       3.8125000       9.0242727       2.7268447      -69.400000
       3.8229167       7.5345000       1.5548886      -72.775758
       3.8333333       7.5081111       1.4591902      -49.320000
       3.8437500       6.5070000       2.2114475      -19.733333
       3.8541667       7.0970000       1.4660036       7.5200000
       3.8645833       6.6636667       2.0819862      -18.300000
       3.8750000       6.7157500       1.8543265      0.22857143
       3.8854167       6.6684286       1.3412858      -7.0714286
       3.8958333       6.5684286       1.7871899      -55.885714
       3.9062500       5.5041429      0.99767587      -109.42857
       3.9166667       4.2886667       2.3007426      -46.242857
       3.9270833       4.5407500       2.3911201      -43.890909
       3.9375000       3.3742727       2.5984961      -73.860000
       3.9479167       3.0020000       1.9692709      -107.86909
       3.9583333       1.1270000       2.1223938      -146.34000
       3.9687500    -0.046750000       2.0850552      -95.840000
       3.9791667     -0.86966667       1.8929144      -11.820000
       3.9895833     -0.29300000       1.8869287       21.200000
       4.0000000     -0.42800000       2.4958299      -77.280000
       4.0104167      -1.9030000       2.6888659      -101.60000
       4.0208333      -2.5446667       3.0411210       7.2000000
       4.0312500      -1.7530000       2.9007542      -26.114286
       4.0416667      -3.0887143       3.0498244      -12.900000
       4.0520833      -2.0217500       3.2305393      -24.000000
       4.0625000      -3.5887143       3.2557276       35.940000
       4.0729167      -1.2730000       3.5196433       51.847619
       4.0833333      -2.5085556       3.7467023       3.1600000
       4.0937500      -1.2071667       3.4431393       20.000000
       4.1041667      -2.0918889       3.9754542      -51.400000
       4.1145833      -2.2780000       3.1743985      -57.104762
