#      
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       4.0208333      0.27775000     0.052173844      0.19200000
       4.0312500      0.29145000     0.025385133     -0.83400000
       4.0416667      0.26037500     0.050147275      -1.6790667
       4.0520833      -999.00000      -999.00000      -999.00000
       4.0625000      0.27973333     0.055150008      -2.1692000
       4.0729167      0.24100000     0.060271137    -0.056000000
       4.0833333      0.27856667      0.10504881     -0.95680000
       4.0937500      0.22106667     0.068879194     -0.45600000
       4.1041667      0.26906667     0.053241087     -0.47840000
       4.1145833      0.21110000     0.018809040      -2.9210667
       4.1250000      -999.00000      -999.00000      -999.00000
       4.1354167      0.26040000    0.0041012193       1.0164000
       4.1458333      -999.00000      -999.00000      -999.00000
       4.1562500      0.25345000     0.066409161      -1.2536000
       4.1666667      0.23560000     0.087256977     -0.38640000
       4.1770833      0.24540000     0.073957420       1.0656000
       4.1875000      0.25780000     0.095742258       5.0496000
       4.1979167      0.35060000     0.050204581       5.4376000
       4.2083333      -999.00000      -999.00000      -999.00000
       4.2187500      0.31925000     0.037547370      -6.1400000
       4.2291667      0.23115000     0.069650018      -2.6280000
       4.2395833      0.26450000     0.082031640      -1.6552000
       4.2500000      0.19666667     0.089574792      -5.0192000
       4.2604167      -999.00000      -999.00000      -999.00000
       4.2708333      0.15430000    0.0016970563     -0.22400000
       4.2812500      -999.00000      -999.00000      -999.00000
       4.2916667      0.18733333     0.095943855       2.9936000
       4.3020833      0.22585000      0.12777420      0.93440000
       4.3125000      0.20680000     0.082859278      -1.1232000
       4.3229167      0.20245000      0.10953084       1.3664000
       4.3333333      0.23526667     0.084324512       2.7016000
       4.3437500      -999.00000      -999.00000      -999.00000
       4.3541667      0.27285000    0.0055861436     -0.45440000
       4.3645833      -999.00000      -999.00000      -999.00000
       4.3750000      0.21633333     0.081973553      -4.2045333
       4.3854167      0.16476667     0.090192978      0.32000000
       4.3958333      0.22300000     0.088890551      -2.5832000
       4.4062500      0.11095000   0.00063639610      -7.2528000
       4.4166667      -999.00000      -999.00000      -999.00000
