#
#    UT day (days)    tau225         rms tau225       d tau225/dt (1/day)
       2.6979167      0.25308333      0.27079148      -9.8716000
       2.7083333      0.17417500      0.18098861      0.53291429
       2.7187500      0.26418571      0.30761677       2.4180000
       2.7291667      0.22455000      0.20781303      -4.1377143
       2.7395833      0.17798333      0.13347469      -3.1902857
       2.7500000      0.15808571      0.11724095     -0.77542857
       2.7604167      0.16182857      0.11900570     -0.77264762
       2.7708333      0.14198889      0.10627204       1.7131886
       2.7812500      0.19752000      0.15085722      0.74584242
       2.7916667      0.15752727      0.11570055      -1.6317600
       2.8020833      0.16352500      0.14764899      0.38695758
       2.8125000      0.16558889      0.13161722       2.6324000
       2.8229167      0.21836667      0.16917187       4.2972190
       2.8333333      0.25511429      0.12321645      0.72080000
       2.8437500      0.23338333      0.17483608      -2.2313143
       2.8541667      0.20862857      0.14985595      -2.0842000
       2.8645833      0.18996250      0.16789695     -0.65074286
       2.8750000      0.19507143      0.15398484      0.62740000
       2.8854167      0.20303333      0.11826356     -0.65074286
       2.8958333      0.18151429      0.10700613       12.942200
       2.9062500      0.47266250      0.71971318       2.5801143
       2.9166667      0.23526667      0.15914523      -13.984964
       2.9270833      0.18130909      0.13210093      -1.3146667
       2.9375000      0.20787778      0.12657786     -0.77995636
       2.9479167      0.16506000      0.11770391      0.22598095
       2.9583333      0.21258571      0.13654983       2.3415771
       2.9687500      0.21384286      0.16689818       2.8222857
       2.9791667      0.27138333      0.15452489     -0.36068571
       2.9895833      0.20632857      0.13946266      -4.4624000
       3.0000000      0.17841667      0.13075824      -1.4221714
       3.0104167      0.17670000      0.16386544       1.4536000
       3.0208333      0.20870000      0.14669733      -1.4704000
       3.0312500      0.14606667      0.11922638     -0.10080000
       3.0416667      0.20660000      0.10628341      0.37360000
       3.0520833      0.15385000      0.11573815      -1.2859636
       3.0625000      0.17980909      0.13815141       5.0925333
       3.0729167      0.25994444      0.24361069       2.4783636
       3.0833333      0.23144167      0.19066094      -4.3815333
       3.0937500      0.16866250      0.14356731      -4.6863200
       3.1041667      0.13381000      0.13002233       2.4872400
       3.1145833      0.22048000      0.15205309       3.2614629
       3.1250000      0.20175714      0.14719673       1.9313600
       3.1354167      0.26071667      0.12986685      -2.3003429
       3.1458333      0.15383333      0.15488129      -4.4541333
       3.1562500      0.16792222      0.16276262      -1.7200000
       3.1666667      0.11800000      0.14314394       2.6629333
       3.1770833      0.22340000      0.14665935       2.0304000
       3.1875000      0.16030000      0.15186458      -2.8944000
       3.1979167      0.16310000      0.14528029     -0.96746667
       3.2083333      0.14014444      0.14851320       1.1404800
       3.2187500      0.18686000      0.15577755      0.25082667
       3.2291667      0.14537000      0.13917834      -2.1922800
       3.2395833      0.14118750      0.14015390     -0.24336000
       3.2500000      0.14030000      0.15330607       3.9596400
       3.2604167      0.22368000      0.16725934       1.9686000
       3.2708333      0.18131250      0.14760587      -1.8986400
       3.2812500      0.18412500      0.15914562      -1.4113200
       3.2916667      0.15191000      0.14641127      -2.4700000
       3.3020833      0.13266667      0.15783804       1.1371200
       3.3125000      0.17560000      0.15576097      0.84160000
       3.3229167      0.15020000      0.16810976      0.34011429
       3.3333333      0.18268571      0.17266717      -1.6985143
       3.3437500      0.11481429      0.14666383     -0.22971429
       3.3541667      0.17790000      0.15791481      0.87640519
       3.3645833      0.13307273      0.14080083      0.31296000
       3.3750000      0.18442000      0.16582245      -1.2500509
       3.3854167      0.10703000      0.12456173      -2.0567314
       3.3958333      0.14157143      0.13956950       1.4673600
       3.4062500      0.13760000      0.13270122       1.6237714
       3.4166667      0.17540000      0.17569128       1.4286000
       3.4270833      0.16736250      0.14998390      -2.6808000
       3.4375000      0.11955000      0.15208080      -1.0515333
       3.4479167      0.14545556      0.14002677      0.91508571
       3.4583333      0.13861429      0.13525431       1.1808762
       3.4687500      0.17005714      0.13765132      -1.2470857
       3.4791667      0.11263333      0.12602407     -0.91054286
       3.4895833      0.15108750      0.13847948     -0.26560000
       3.5000000      0.10710000      0.11659287     -0.52216364
       3.5104167      0.14020909      0.13481853      0.82416000
       3.5208333      0.12427000      0.12369522      -1.8036364
       3.5312500      0.10263333      0.11003040     -0.24198857
       3.5416667      0.11922857      0.10720668       1.1152000
       3.5520833      0.12586667     0.099241436       2.2923429
       3.5625000      0.16698571      0.12350036       3.0121600
       3.5729167      0.18862000      0.24402157       1.5072857
       3.5833333      0.19838750      0.19343695      -3.3441600
       3.5937500      0.11895000      0.15430087      0.54300000
       3.6041667      0.20970000      0.25908499       3.2784000
       3.6145833      0.18725000      0.29815678       1.8857143
       3.6250000      0.24898571      0.27103192      -2.0016000
       3.6354167      0.14555000      0.15417422      -2.1609143
       3.6458333      0.20396667      0.16827964    -0.061745455
       3.6562500      0.14426364      0.13436098      -2.0149333
       3.6666667      0.16198889      0.16007401      0.74681212
       3.6770833      0.15982222      0.13857335       14.237333
       3.6875000      0.45860000      0.49806860       3.3885333
       3.6979167      0.23041667      0.17791921      -11.348800
       3.7083333      0.22216667      0.19572476      -1.5032000
       3.7187500      0.19910000      0.15231232      -2.8667429
       3.7291667      0.16244286      0.16396692      0.83040000
       3.7395833      0.21640000      0.19364384     -0.15805714
       3.7500000      0.15915000      0.14197013       1.7904000
       3.7604167      0.25370000      0.18344167       1.7992000
       3.7708333      0.19663333      0.19022993    -0.040800000
       3.7812500      0.25285000      0.19145169      -1.3525333
       3.7916667      0.16845556      0.14854839      -2.1729600
       3.8020833      0.20758000      0.14799441     -0.19641212
       3.8125000      0.16436364      0.13495139      -2.2977067
       3.8229167      0.15971111      0.13353823     -0.89052121
       3.8333333      0.14581111      0.12654908       3.3210667
       3.8437500      0.22890000      0.17119806       4.0470667
       3.8541667      0.23012500      0.17128582     -0.88920000
       3.8645833      0.21037500      0.19599006      -1.7921333
       3.8750000      0.19278889      0.15747631      -2.4420000
       3.8854167      0.15950000      0.11990231       2.9107048
       3.8958333      0.25342857      0.17130817      0.56240000
       3.9062500      0.17121667      0.10185178      -1.4736000
       3.9166667      0.22272857      0.11419889      0.50868571
       3.9270833      0.18181429      0.11158652      -1.4487896
       3.9375000      0.19254545      0.12370555     -0.15332571
       3.9479167      0.17862000     0.095374208      -1.2069818
       3.9583333      0.16740000      0.13084927     -0.99216000
       3.9687500      0.15795000     0.084554956     -0.13560000
       3.9791667      0.16457500      0.11646433       2.3464000
       3.9895833      0.20683333      0.15255633       1.4404000
       4.0000000      0.19458333      0.10632434      -2.8699429
       4.0104167      0.14704286      0.10856416   -0.0093333333
       4.0208333      0.19438889      0.10154687     -0.89305714
       4.0312500      0.12843750      0.10443688      0.81973333
       4.0416667      0.21146667     0.098923733       3.2738571
       4.0520833      0.19664286      0.13602517       3.1152000
       4.0625000      0.27636667      0.10071735     -0.32632381
       4.0729167      0.18984444     0.089149988      -2.6019200
       4.0833333      0.22216000      0.14855266      -1.8731733
       4.0937500      0.15082000      0.11122221      -1.7138618
       4.1041667      0.18645455      0.13304975     -0.71776000
       4.1145833      0.13586667      0.10126049      -1.7466182
       4.1250000      0.15006667      0.12851959       2.9267200
       4.1354167      0.19684000      0.12804038     -0.28560000
       4.1458333      0.14411667      0.13674476     -0.52032000
       4.1562500      0.18600000      0.11722334      -2.0579429
       4.1666667      0.10124286     0.099673331      -2.0892000
       4.1770833      0.14247500      0.12045309       1.4205429
       4.1875000      0.13083750      0.12850016       3.4050857
       4.1979167      0.21341429      0.15124381      0.85900000
       4.2083333      0.14873333      0.13310571      -1.9350857
       4.2187500      0.17310000      0.13567218     -0.49120000
       4.2291667      0.13850000      0.12901069     -0.46647273
       4.2395833      0.16338182      0.14079308     -0.84288000
       4.2500000      0.12094000      0.12023698      -2.0044606
       4.2604167      0.12162222      0.12579856     -0.63712000
       4.2708333      0.10766667      0.11883229       2.1293333
       4.2812500      0.16598333      0.15862091       2.6203429
       4.2916667      0.16225714      0.15512007      -1.4092000
       4.3020833      0.13662500      0.12688823      -2.2390095
       4.3125000      0.11561111      0.10112888      -2.2188000
       4.3229167     0.090400000      0.10040253       1.4432000
       4.3333333      0.14567778      0.11857111       2.4662400
       4.3437500      0.14178000      0.14714461       1.4458667
       4.3541667      0.17580000      0.13758848      -1.3793829
       4.3645833      0.11304286      0.11869975      -1.8667636
       4.3750000      0.13690909      0.12467534    -0.063923810
       4.3854167      0.11171111      0.10972066     -0.61803636
       4.3958333      0.12403333      0.12544954     -0.55253333
       4.4062500      0.10020000     0.088010357      -1.2229333
       4.4166667     0.098555556      0.10853624      0.78720000
       4.4270833      0.11660000      0.10889066       1.0183619
       4.4375000      0.11977143      0.12739357      0.46960000
       4.4479167      0.12638333      0.10820677      -2.1812571
       4.4583333     0.074328571     0.085533380      -1.2728000
       4.4687500     0.099866667      0.10588083      0.72822857
       4.4791667     0.089500000     0.096979714       2.8582000
       4.4895833      0.15941250      0.14561741       1.8537600
       4.5000000      0.12812000      0.12589171      -1.4756400
       4.5104167      0.12867000      0.12837439      -1.2352457
       4.5208333      0.10238571      0.10381412      -1.2580062
       4.5312500      0.10246154      0.10115966     0.040885714
       4.5416667      0.10323750      0.10031607     -0.66011748
       4.5520833     0.088709091     0.088967460     -0.84317143
       4.5625000     0.085671429     0.088866524       3.2587636
       4.5729167      0.15660000      0.14706686       3.4141714
       4.5833333      0.15680000      0.10401993      -3.4768000
       4.5937500     0.084166667     0.094034965      -2.1306000
       4.6041667      0.11241250     0.089155922     -0.10880000
       4.6145833     0.081900000     0.083451143       1.6296000
       4.6250000      0.14636250      0.11704342       8.9404800
       4.6354167      0.26816000      0.38695406       20.191286
       4.6458333      0.56701429      0.78240101      -3.0172800
       4.6562500      0.20530000      0.33119850      -14.529600
       4.6666667      0.26431429      0.22609120      -4.0008000
       4.6770833      0.12195000     0.091657263       1.7753143
       4.6875000      0.30130000      0.33145827    -0.012480000
       4.6979167      0.12169000     0.090256590      -5.1147429
       4.7083333      0.19474286      0.20704172       3.2137371
       4.7187500      0.18864286      0.25463482       6.6115429
       4.7291667      0.33248333      0.36585819      -1.4708571
       4.7395833      0.15800000     0.084486381      -10.486400
       4.7500000      0.11401667     0.097881794      -1.6240000
       4.7604167      0.12416667      0.10167897     -0.94320000
       4.7708333     0.094366667     0.086644254       7.5424000
       4.7812500      0.28130000      0.27268041       1.0536000
       4.7916667      0.11631667      0.10672093     -0.32220000
       4.8020833      0.27458750      0.34167233       1.9778667
       4.8125000      0.15752222      0.20600430      -2.7690000
       4.8229167      0.21690000      0.27351953     -0.75898667
       4.8333333      0.14171000      0.15164934      -4.0474667
       4.8437500      0.13257778      0.14241639     -0.22968000
       4.8541667      0.13692500      0.12271199       1.5290667
       4.8645833      0.16443333      0.13718787       1.9400571
       4.8750000      0.17734286      0.12310915      -2.1529600
       4.8854167      0.11958000      0.10168189      -1.4457905
       4.8958333      0.14722222      0.10878766     -0.49001143
       4.9062500      0.10937143     0.097554151       1.0579333
       4.9166667      0.16926250      0.14321145       2.0309714
       4.9270833      0.15168333      0.16186373       2.7106000
       4.9375000      0.22573333      0.14289801      -1.3348000
       4.9479167      0.12387500     0.093732991      -1.7136000
       4.9583333      0.19003333      0.11250178       1.8073091
       4.9687500      0.16152727      0.13059855      -1.1813333
       4.9791667      0.16542222      0.11397935       1.9537309
       4.9895833      0.20223000      0.15471924       3.4222933
       5.0000000      0.23672000      0.21219103     -0.68464000
       5.0104167      0.18796667     0.092064644      -2.5556267
       5.0208333      0.18347778     0.061882142      -3.1452800
       5.0312500      0.12244000     0.061727530      -2.2832000
       5.0416667      0.13591111     0.073583311     -0.43529143
       5.0520833      0.11337143     0.077785661     -0.38693333
       5.0625000      0.12785000     0.085599302       1.2109714
       5.0729167      0.13860000      0.10079216      0.23580000
       5.0833333      0.13276250     0.092213168     -0.60320000
       5.0937500      0.12603333     0.080158510     -0.81245455
       5.1041667      0.11583636     0.086072449     -0.99400000
       5.1145833      0.10532500     0.081432685     -0.11534545
       5.1250000      0.11343333     0.086282689      -1.1017714
       5.1354167     0.082371429     0.066039425     -0.95626667
       5.1458333     0.093511111     0.086786411      0.91337143
       5.1562500      0.10140000     0.084034398      0.34186667
       5.1666667      0.10063333     0.064525612      0.54400000
       5.1770833      0.11273333     0.071771935     -0.46480000
       5.1875000     0.090950000     0.058723711     -0.76600000
       5.1979167     0.096775000     0.072235602      0.91680000
       5.2083333      0.11005000     0.072455799       1.3446000
       5.2187500      0.12478750     0.097454963     -0.19536000
       5.2291667      0.10598000     0.096933183     -0.16580000
       5.2395833      0.12133333     0.095565527    -0.034011429
       5.2500000      0.10527143     0.081376670     -0.12160000
       5.2604167      0.11880000     0.073233934     0.042438095
       5.2708333      0.10615556     0.071355836      -1.0574400
       5.2812500     0.096770000     0.073499177     -0.44426667
       5.2916667     0.096900000     0.068355040       2.3198400
       5.3020833      0.14510000     0.071651825       1.3659429
       5.3125000      0.12535714     0.066989971      -1.6144000
       5.3229167      0.11146667     0.056928540      -1.1499429
       5.3333333      0.10140000     0.051577099     -0.75680000
       5.3437500     0.095700000     0.055338129       1.4893714
       5.3541667      0.13242857     0.067185780      0.13536000
       5.3645833     0.098520000     0.091638213      0.67131429
       5.3750000      0.14641429     0.099774102     -0.93036000
       5.3854167     0.079137500     0.077618553     -0.78948571
       5.3958333      0.12996667     0.077113520      0.45638182
       5.4062500     0.088645455     0.069398492   -0.0032000000
       5.4166667      0.12990000     0.075246469     -0.30698182
       5.4270833     0.082250000     0.069050581     -0.48360000
       5.4375000      0.11982500     0.078595906       1.3832000
       5.4479167      0.11106667     0.068627011      0.55176000
       5.4583333      0.13132000     0.071616807     -0.44000000
       5.4687500      0.10190000     0.054238732      -1.7447314
       5.4791667     0.094971429     0.062878553    -0.081600000
       5.4895833      0.10020000     0.055213223      0.25043810
       5.5000000      0.10018889     0.064258860      0.66160000
       5.5104167      0.11398333     0.070048995      -1.5663238
       5.5208333     0.067557143     0.060608576     -0.35782857
       5.5312500      0.10652857     0.076179519      0.14392381
       5.5416667     0.070555556     0.059249644       1.2104104
       5.5520833      0.13174545     0.075487368      0.48453333
       5.5625000     0.080650000     0.066713954      0.77915152
       5.5729167      0.14797778     0.088595200      0.69720000
       5.5833333     0.095175000     0.085381158       1.2668952
       5.5937500      0.17437143     0.067631963       1.5812000
       5.6041667      0.12811667     0.085119009      -1.0370286
       5.6145833      0.15276667     0.063561991     -0.31760000
       5.6250000      0.12150000     0.070534753       1.4518000
       5.6354167      0.18301250      0.11674497       1.9566000
       5.6458333      0.16226250      0.14019957      -3.8886000
